GVP_Index,GVP_ID,GVP_Name,lat,lon,Waste_Tonnes,Assigned_SCTP_ID,SCTP_ID,SCTP_Name,geometry
1,0,Dammaiguda Petrol Bunk,17.501253,78.586182,1.1,3,3,Saket,POINT (78.586182 17.501253)
2,1,Vampuguda Graveyard,17.50141,78.570939,0.56,3,3,Saket,POINT (78.570939 17.50141)
3,2,Kandiguda Anganwadi,17.499374,78.568335,1.26,3,3,Saket,POINT (78.568335 17.499374)
4,3,Yellareddyguda Graveyard,17.495398,78.5414,0.66,3,3,Saket,POINT (78.5414 17.495398)
5,4,Sai Puri Post office,17.490081,78.540921,1.03,3,3,Saket,POINT (78.540921 17.490081)
6,5,Kandeguda Circle Weekly Market,17.496495,78.543638,1.1,3,3,Saket,POINT (78.543638 17.496495)
7,6,Valval Nagar Colony Church,17.495217,78.540436,0.96,3,3,Saket,POINT (78.540436 17.495217)
8,7,Sri Ram Nagar Colany Comman,17.48417,78.565141,1.1,3,3,Saket,POINT (78.565141 17.48417)
9,8,Landmark Appartment,17.487733,78.569268,1.3,3,3,Saket,POINT (78.569268 17.487733)
10,9,Hanuman Temple Back Side (Vijayapuri colony),17.483395,78.553146,0.56,3,3,Saket,POINT (78.553146 17.483395)
11,10,Post Office (SBI Bank),17.476889,78.559327,0.46,3,3,Saket,POINT (78.559327 17.476889)
12,11,Amulya Homes Opposite,17.49071,78.576533,1.16,3,3,Saket,POINT (78.576533 17.49071)
13,12,IG Colony Existing Bin Point,17.473773,78.620108,1.63,3,3,Saket,POINT (78.620108 17.473773)
14,13,Bharat Nagar Water Tank,17.458445,78.612486,1.06,2,2,Mallapur,POINT (78.612486 17.458445)
15,14,Peddha Cherlapally Bus Stop,17.463209,78.611688,0.03,2,2,Mallapur,POINT (78.611688 17.463209)
16,15,Chekripuram Teachers Colony 4th High Tention Pole,17.48303,78.588554,1.46,3,3,Saket,POINT (78.588554 17.48303)
17,16,Nagarjuna Nagar Colony Old Bulding,17.481817,78.583456,0.86,3,3,Saket,POINT (78.583456 17.481817)
18,17,SIRI Garden Function Hall Main Rd,17.474437,78.588646,0.86,3,3,Saket,POINT (78.588646 17.474437)
19,18,Nagarjurna nagar old bulding ,17.482026,78.583534,0.56,3,3,Saket,POINT (78.583534 17.482026)
20,19,MRR School ,17.480529,78.579648,1.4,3,3,Saket,POINT (78.579648 17.480529)
21,20,Chekripuram Near Lalita Sai Wines,17.480105,78.589098,0.36,3,3,Saket,POINT (78.589098 17.480105)
22,21,EC Nagar Weakly market,17.463331,78.599079,1.1,2,2,Mallapur,POINT (78.599079 17.463331)
23,22,Nagarjuna Nagar Colony Park,17.48012,78.582362,1.53,3,3,Saket,POINT (78.582362 17.48012)
24,23,pedda cherlapalli masjidi,17.483391,78.578398,0.36,3,3,Saket,POINT (78.578398 17.483391)
25,24,B K Nagar Road No.3,17.452652,78.570154,1.03,2,2,Mallapur,POINT (78.570154 17.452652)
26,25,mallapur chuurch,17.480552,78.57974,0.03,3,3,Saket,POINT (78.57974 17.480552)
27,26,Karthikeya Nagar (Errakunta),17.434858,78.550901,1.56,15,15,Lalapet Flyover,POINT (78.550901 17.434858)
28,27,Bandala Bavi (Shivalayam),17.430403,78.545439,1.03,15,15,Lalapet Flyover,POINT (78.545439 17.430403)
29,28,SC Colony Community Hall,17.446708,78.567226,0.7,2,2,Mallapur,POINT (78.567226 17.446708)
30,29,Ashok Nagar Mallapur Near Vasavi Medical Shop,17.455284,78.581348,1.16,2,2,Mallapur,POINT (78.581348 17.455284)
31,30,Gokul Nagar FCI Gowdowam,17.444395,78.575363,0.83,2,2,Mallapur,POINT (78.575363 17.444395)
32,31,Nehru Nagar Circle,17.445709,78.584007,1.63,2,2,Mallapur,POINT (78.584007 17.445709)
33,32,Surya nagra railway track,17.446705,78.576876,0.03,2,2,Mallapur,POINT (78.576876 17.446705)
34,33,Rythu Bazar Near Shanti Gardens,17.448584,78.581916,0.63,2,2,Mallapur,POINT (78.581916 17.448584)
35,34,Nagendra Nagar Habsiguda Petrol Bunk,17.433486,78.550415,1.63,15,15,Lalapet Flyover,POINT (78.550415 17.433486)
36,35,Nayara petrol bunk ,17.438068,78.558811,0.63,2,2,Mallapur,POINT (78.558811 17.438068)
37,36,Nacharam Kallu Compound,17.431542,78.548167,0.76,15,15,Lalapet Flyover,POINT (78.548167 17.431542)
38,37,HMT nagar ,17.482649,78.574704,0.63,3,3,Saket,POINT (78.574704 17.482649)
39,38,Baba Nagar Grave Yard,17.22337,78.545212,1.03,5,5,Hasthinapuram,POINT (78.545212 17.22337)
40,39,ESI Opposite galli,17.430758,78.553984,0.76,15,15,Lalapet Flyover,POINT (78.553984 17.430758)
41,40,Berrappagadda Uppal Amma Temple,17.405443,78.563622,0.03,0,0,Nagole,POINT (78.563622 17.405443)
42,41,GHMC Rs5 Food,17.259,78.3354,0.13,7,7,Kattedan,POINT (78.3354 17.259)
43,42,Adarsh Nagar Opp.Hp Bunk,17.416478,78.564558,0.4,0,0,Nagole,POINT (78.564558 17.416478)
44,43,Adarsh Nagar Graveyard,17.2456,78.3348,1.53,7,7,Kattedan,POINT (78.3348 17.2456)
45,44,Balaji Enclave,17.4186,78.559272,1.56,15,15,Lalapet Flyover,POINT (78.559272 17.4186)
46,45,Chilaka Nagar Culvert,17.40821,78.564022,1.16,0,0,Nagole,POINT (78.564022 17.40821)
47,46,LFJC SCHOOL,17.404533,78.560198,0.56,0,0,Nagole,POINT (78.560198 17.404533)
48,47,Laxmi Nagar Colony Hanuman Temple,17.391268333336,78.549663333,0.66,1,1,Devender Nagar,POINT (78.549663333 17.391268333336)
49,48,Street No.1 Kakatiya Nagar Ramalayam,17.41851,78.54078,0.7,15,15,Lalapet Flyover,POINT (78.54078 17.41851)
50,49,Street No.1 Sai Baba Temple,17.417258,78.539182,0.66,15,15,Lalapet Flyover,POINT (78.539182 17.417258)
51,50,Sri Raghavendra Swamy Temple,17.39618,78.531443,0.9,1,1,Devender Nagar,POINT (78.531443 17.39618)
52,51,Madura Nagar Park Opp Union bank,17.390697,78.531867,1.36,1,1,Devender Nagar,POINT (78.531867 17.390697)
53,52,Govt Polytechnic College,17.393048,78.529018,1.33,1,1,Devender Nagar,POINT (78.529018 17.393048)
54,53,Corporation Opp HDFC ATM,17.3895,78.527615,0.06,1,1,Devender Nagar,POINT (78.527615 17.3895)
55,54,Srinivasapuram Rd No 3,17.389108,78.530159,0.23,1,1,Devender Nagar,POINT (78.530159 17.389108)
56,55,Modern Bakery Opp,17.401402,78.551502,1.36,0,0,Nagole,POINT (78.551502 17.401402)
57,56,First Place School,17.405874,78.54069,1.63,1,1,Devender Nagar,POINT (78.54069 17.405874)
58,57,Kotak Bank Opp,17.412248,78.544996,0.86,15,15,Lalapet Flyover,POINT (78.544996 17.412248)
59,58,"Tennis Court ,Street No:4",17.41576,78.543697,0.13,15,15,Lalapet Flyover,POINT (78.543697 17.41576)
60,59,TV Colony Saichitra,17.3911175,78.54359598,0.5,1,1,Devender Nagar,POINT (78.54359598 17.3911175)
61,60,Ramanthpur Main Road,17.3979549,78.5338025,1.13,1,1,Devender Nagar,POINT (78.5338025 17.3979549)
62,61,Yellamma Temple,17.388148,78.534978,0.03,1,1,Devender Nagar,POINT (78.534978 17.388148)
63,62,Ram Reddy Nagar,17.382641,78.530192,0.06,1,1,Devender Nagar,POINT (78.530192 17.382641)
64,63,satya narayana swami temple,17.394458,78.537977,1.36,1,1,Devender Nagar,POINT (78.537977 17.394458)
65,64,Princeton Degree College,17.3972999,78.53633119,1.3,1,1,Devender Nagar,POINT (78.53633119 17.3972999)
66,65,Bheesma Colony Sharada Nagar RD,17.394911,78.536738,0.8,1,1,Devender Nagar,POINT (78.536738 17.394911)
67,66,Rajaka Sangam,17.39361,78.537619,0.36,1,1,Devender Nagar,POINT (78.537619 17.39361)
68,67,Chaityanya Bharati School,17.392713,78.53906,1.43,1,1,Devender Nagar,POINT (78.53906 17.392713)
69,68,Gokul Nagar Park,17.395067,78.535158,0.83,1,1,Devender Nagar,POINT (78.535158 17.395067)
70,69,Ayyappa Swamy Temple Beside Transformer,17.392258,78.533642,1.66,1,1,Devender Nagar,POINT (78.533642 17.392258)
71,70,Ice Cream Factory,17.39051029,78.53489758,0.46,1,1,Devender Nagar,POINT (78.53489758 17.39051029)
72,71,Devendra Nagar Rd,17.392361,78.552669,0.23,0,0,Nagole,POINT (78.552669 17.392361)
73,72,Kallu Compound,17.402764,78.566988,1.5,0,0,Nagole,POINT (78.566988 17.402764)
74,73,Nalla Cheruv Uppal,17.401072,78.580867,0.93,0,0,Nagole,POINT (78.580867 17.401072)
75,74,Shanthi Nagar Community Hall,17.401265,78.571411,1.66,0,0,Nagole,POINT (78.571411 17.401265)
76,75,Rankers School,17.399725,78.570727,0.26,0,0,Nagole,POINT (78.570727 17.399725)
77,76,Hanuman Temple,17.391017,78.546243,0.7,1,1,Devender Nagar,POINT (78.546243 17.391017)
78,77,Mahakali Temple,17.401862,78.56371,0.66,0,0,Nagole,POINT (78.56371 17.401862)
79,78,Gandhi Graveyard,17.402232,78.568438,1.56,0,0,Nagole,POINT (78.568438 17.402232)
80,79,Auto Stand,17.40162,78.568309,0.26,0,0,Nagole,POINT (78.568309 17.40162)
81,80,UPPAL Vegetable Market,17.402654,78.571178,0.7,0,0,Nagole,POINT (78.571178 17.402654)
82,81,Surya Nagar Committee Hall,17.398755,78.561534,1.3,0,0,Nagole,POINT (78.561534 17.398755)
83,82,Krishna Hospital,17.397521,78.560206,0.5,0,0,Nagole,POINT (78.560206 17.397521)
84,83,Royal Enfield,17.394359,78.561354,0.7,0,0,Nagole,POINT (78.561354 17.394359)
85,84,Seven Hills Colony,17.411207,78.56829,1.53,0,0,Nagole,POINT (78.56829 17.411207)
86,85,Merry Matha,17.390825,78.546599,0.46,1,1,Devender Nagar,POINT (78.546599 17.390825)
87,86,Krishna Hospital,17.397508,78.560208,0.1,0,0,Nagole,POINT (78.560208 17.397508)
88,87,Nagole X Road,17.376178,78.5589664,1.2,0,0,Nagole,POINT (78.5589664 17.376178)
89,88,Sujatha Hotel,17.3739551,78.5613815,1.03,0,0,Nagole,POINT (78.5613815 17.3739551)
90,89,Aurnodaya Colony Rd No 7,17.3737421,78.5691512,0.7,0,0,Nagole,POINT (78.5691512 17.3737421)
91,90,PBR Convention Hall,17.3719305,78.5665179,1.56,0,0,Nagole,POINT (78.5665179 17.3719305)
92,91,Jaipuri Colony Chanikya High School main road,17.3758879,78.5686404,1.26,0,0,Nagole,POINT (78.5686404 17.3758879)
93,92,Mamatha Nagar Beside Nagole Nala,17.3804048,78.5578374,1.33,0,0,Nagole,POINT (78.5578374 17.3804048)
94,93,Gouda Sangam Nagole,17.3759252,78.5621082,0.33,0,0,Nagole,POINT (78.5621082 17.3759252)
